language,sentence
arabic,يكي، يمكن ملاحظة هذه الروابط في قائمة
arabic, في الجانب الأيمن من صفحة المقال. ال
arabic,صور والوسائط المتعددة الأخرى يتم تشا
arabic,ركها من خلال مشروع ويكيميديا كومنز.
arabic,بسبب طريقة تحرير المقالات من خلال نظام الو
arabic,يكي الذي يسمح لأي شخص إضافة وتعديل وحذف مع
arabic,لومات من معظم مقالات ويكيبيديا، اتهم بعض ا
arabic,لمتخصصين الويكي، بكونها ليست ذات مرجعية.
arabic,عبارة: نص ضعيف بمصدر، أفضل من كتابة جيدة غير موث
arabic,وقة، تدل على أن المحررين المجهولين، لا يمكن تتبع
arabic,هم، أو مناقشتهم، للاستفادة منهم، أو لمجادلتهم.
arabic,يجيب إداريو الويكي، أن هذا يشجع الزوار الجدد
arabic, على الإضافة، بإغرائهم للتغيير، والاستفادة 
arabic,ولو بتلميحات عديدة منهم، كما أنه غالباً ما 
arabic,يدفع هؤلاء المحررين للتسجيل في آخر المطاف.
arabic,كما أن دراسات لتأثير التخريب، أثبتت أنه لا 
arabic,داعي في المبالغة بتأثيره، غالباً، ما تكون ا
arabic,لمقالات المحايدة، أطول مدة وأكثر استقرارا.
arabic,إن مختلف صلاحيات إداريي الويكي، تمكنهم من ح
arabic,ماية المقالات التي تحتاج مراقبة مكثفة، أو ت
arabic,تعرض لتخريب متنوع، كمقالات البلدان مثلا، أ
arabic,و المقالات عن المواضيع الدينية والسياسية.
arabic,لا يوفر كل المساهمين مصادر لكتاباتهم، ط
arabic,بيعة عمل ويكيبيديا هذه جعلتها موضعاً لل
arabic,شك في مصداقية محتوياتها؛ [20]. أجرى خب
arabic,راء جامعيون أستراليون دراسة حول ويكيبي
arabic,ديا وطريقة تحرير المقالات فيها، ووجدوا
arabic, أن مواضيع ويكيبيديا يحررها أعضاء يتعا
arabic,ونون فيما بينهم، وهم غالباً من غير الم
arabic,تخصصين. لكن أيضاً وجدوا أن لطريقة الوي
arabic,كي هذه بعض المميزات للموسوعة.[21][22]
arabic,كما أن كتاب الويكي ليسوا كلهم ذوي اختصاص
arabic,، من سن الطفولة، إلى الكهولة. يُنصح لهذا
arabic, بقراءة الويكي دائما بنظرة ناقدة. لدى ا
arabic,لإداريين الحق في مسح أية مساهمات غير مو
arabic,ثوقة بمصادر تضمن حياديتها، ومصداقيتها.
arabic,تتضمن المعلومات التي تقدمها ويكيبيديا حول الع
arabic,لوم، والانتقادات والجدال حول تأثير وجودة الم
arabic,علومات وثقافة محرري ويكيبيديا، العلماء، وغير
arabic, المتخصصين في إدخال المعلومات إلى ويكيبيديا
arabic,في عام 2016 في مؤسسة ويكيبيديا التعليمي
arabic,"ة  ومؤسسة سيمونس تم تقديم برنامج يسمى """
arabic,"عام العلوم"" في هذا البرنامج، حيث قام مع"
arabic,لموا الويكيبيديا بزيارة المعارض العلمية
arabic, ودعوا العلماء للمساهمة بمعلومات في مجا
arabic,لهم وتخصصهم في ويكيبيديا. بعض الجامعات 
arabic,لديها برنامج يشجع الطلاب على تعديل مقال
arabic,ات ويكيبيديا العلمية كجزء من تجربتهم ال
arabic,علمية ويدعو مجتمع ويكيبيديا العديد من 
arabic,الأكادميين لتحرير مقالات ويكيبيديا. أي
arabic,ضا قام العديد من الأكادميين الإجتماعيي
arabic,ن بتشجيع الأفراد على تحرير ويكيبيديا.
arabic,في دراسة عام2005 نشرت في مجلة نيتشر تم 
arabic,إجراء مقارنة بين 40 مقالة  علمية من الو
arabic,يكيبيديا الإنجليزية وبين موسوعة بريتاني
arabic,كا، وجد الخبراء أربع مشاكل جدية في كل م
arabic,ن  الويكيبيديا وموسوعة بريتانيكا، ووجدو
arabic,ا أيضاً 162 مشكلة أقل جدية في ويكيبيديا
arabic, و123 مشكلة أقل جدية في  بريتانيكا. مج
arabic,لة أدبيات علمية كتبت لVice تشتكي في عا
arabic,م 2017 أن مقالات ويكيبيديا العلمية تقن
arabic,ية بشكل كبير. كما انتقد وشكك العديد من
arabic, العلماء والتنظيمات الإعلامية بمحتوى م
arabic,قالات كل من الموسوعتين من ناحية التأثي
arabic,ر العلمي، والنقاشات المتعلقة بالعلوم.
arabic,بالإضافة إلى ويكيبيديا أطلقت مؤسسة وي
arabic,كيميديا العديد من المشاريع سميت بالمش
arabic,اريع الشقيقة، ويكي قاموس مشروع قاموس
arabic, متعدد اللغات بدأ في ديسمبر 2002، وي
arabic,كي اقتباس الذي يضم مجموعة من الاقتبا
arabic,سات، ويكي الكتب مشروع للكتب المجانية
arabic, الحرة التي يتم تحريرها تعاونياً. وي
arabic,كيميديا تطلق مشاريع عديدة منذ ذلك ال
arabic,حين.[28] أحدث مشاريع ويكيميديا هو وي
arabic,كي جامعة مشروع يهدف إلى دعم التعليم 
arabic,الحر واستضافة مصادر تعليمية مجانية.
arabic,مشاريع أخرى مستقلة عن مؤسسة ويكيميديا استو
arabic,حت الفكرة من طريقة عمل ويكيبيديا التي تعتم
arabic,د على نظام الويكي والعمل الجماعي، من هذه ا
arabic,لمشاريع، موسوعة المعرفة، وموسوعة الحياة.
arabic,كما إستوحت موسوعة لاروس طريقة عمل ويكيبيد
arabic,يا لإنشاء موسوعة على الإنترنت يحررها مساه
arabic,مون غير متخصصين، لكن مع اختلاف في التطبيق
arabic, فموسوعة لاروس تسمح لمستخدمها أن يكتب مق
arabic,الاً ويحق له وحده أن يحرره، وهذا النموذج
arabic, يتفق مع ما تطبقه خدمة نول من جوجل.[29]
arabic,الفيلم الوثائقي المستقل الأول عن ويكي
arabic,"بيديا يسمى ""الحقيقة بالأرقام: قصة ويك"
arabic,"يبيديا"" Truth in Numbers: The Wikiped"
arabic,ia Story) عرض في مؤتمر ويكيمانيا 2010
arabic,. تم تصويره في العديد من قارات العالم
arabic,. سجل الفيلم تاريخ ويكيبيديا وقدم مقا
arabic,بلات مع العديد من محرري ويكيبيديا حول
arabic, العالم والآراء المتباينة حولها.[30]
bengali,{{selfref}} is a template that is used t
bengali,o mark pieces of text and links that wou
bengali,ldn't make sense on mirrors of Wikipedia
bengali,: see Wikipedia:Avoid self-references.
bengali,"In most cases, {{selfref}} is used to "
bengali,create a disambiguation link to a page
bengali, in the Wikipedia: namespace from arti
bengali,"cle space; for instance, Objectivity ("
bengali,journalism) has a selfref link '{{self
bengali,ref|For Wikipedia's policy on avoiding
bengali," bias, see [[Wikipedia:Neutral point o"
bengali,f view]].}}'. When using {{selfref}} i
bengali,"n this way, use the following format:"
bengali,"(This is needed with all templates, no"
bengali,t just {{selfref}}.) When using {{self
bengali,"ref}} in this way, the text will be i"
bengali,ndented slightly and put in italics.
bengali,{{selfref}} can also be used for any o
bengali,ther text which shouldn't appear in mi
bengali,rrors (the mirrors can remove it by b
bengali,"lanking {{selfref}} in their copy, al"
bengali,"though not all of them do), without r"
bengali,"eformatting; to use it like this, pla"
bengali,ce an extra vertical bar at the end o
bengali,"f the template inclusion, like this:"
bengali,উইকিপিডিয়া  একটি সম্মিলিতভাবে সম্পাদ
bengali,"িত, বহুভাষিক, মুক্ত প্রবেশাধিকার, মুক"
bengali,্ত কন্টেন্ট সংযুক্ত একটি ইন্টারনেট বি
bengali,"শ্বকোষ, যা অলাভজনক উইকিমিডিয়া ফাউন্ড"
bengali,"েশন কর্তৃক সমর্থিত, আয়োজিত এবং পরিচা"
bengali,লিত। স্বেচ্ছাসেবীরা বিশ্বব্যাপী সম্মি
bengali,লিতভাবে ৩০১টি ভাষার উইকিপিডিয়ায় প্র
bengali,"ায় ৪০ মিলিয়ন নিবন্ধ রচনা করেছেন, যা"
bengali,র মধ্যে শুধু ইংরেজি উইকিপিডিয়ায় রয়
bengali,েছে ৫৮ লক্ষের অধিক নিবন্ধ। যে কেউ ওয়
bengali,েবসাইটে প্রবেশের মাধ্যমে যে কোনো নিবন
bengali,"্ধের সম্পাদনা করতে পারেন, যা সম্মিলিত"
bengali,ভাবে[৫] ইন্টারনেটের সর্ববৃহৎ এবং সর্ব
bengali,াধিক জনপ্রিয় সাধারণ তথ্যসূত্রের ঘাটত
bengali,ি পূরণ করে থাকে।[৬][৭][৮][৯][১০] ফেব্
bengali,"রুয়ারি ২০১৪ সালে, দ্য নিউ ইয়র্ক টাই"
bengali,মস জানায় উইকিপিডিয়া সব ওয়েবসাইটের 
bengali,মধ্যে বিশ্বব্যাপী পঞ্চম স্থানে অবস্থা
bengali,"ন করছে, ""মাসিক প্রায় ১৮ বিলিয়ন পৃষ্"
bengali,ঠা প্রদর্শন এবং প্রায় ৫০০ মিলিয়ন স্
bengali,"বতন্ত্র পরিদর্শক নিয়ে..., উইকিপিডিয়"
bengali,"ায় ইয়াহু, ফেসবুক, মাইক্রোসফট এবং  গ"
bengali,"ুগলের পথানুসরণ করে, সর্বাধিক ১.২ বিলি"
bengali,"য়ন স্বতন্ত্র পরিদর্শক রয়েছে।""[১১]"
bengali,"জানুয়ারি ১৫, ২০০১ সালে জিমি ওয়েলস এব"
bengali,ং ল্যারি স্যাঙ্গার উইকিপিডিয়া চালু ক
bengali,"রেন, পরবর্তীতে[১২] এর নাম তৈরি করেন,["
bengali,১৩] একটি পিন্ডারিশব্দে উইকি (এটি সম্ম
bengali,"িলিত ওয়েবসাইটের এক প্রকার নাম, হাওয়"
bengali,"াইয়ান ভাষায় ""হাঁটা"")[১৪] এবং বিশ্বক"
bengali,োষ। 'উইকি উইকি' মানে দাঁড়িয়ে ছোট-ছো
bengali,ট পায়ে হাঁটা। উইকি ওয়েব সংস্কৃতিতে 
bengali,সবার ছোট-ছোট অবদান যুক্ত হয়েই এই সাই
bengali,টটির মত ক্রমবর্ধমান সংগ্রহ গড়ে ওঠে। 
bengali,বর্তমানে এটি সব থেকে বড় এবং সর্বাধিক
bengali, জনপ্রিয় ইন্টারনেট ভিত্তিক তথ্যসূত্র
bengali, হিসাবে ব্যবহার হয়।[৬][৭][৮][৯][১৫]
bengali,"২০০৬ সালে, টাইম ম্যাগাজিন স্বীকৃত দেয়"
bengali," যে, উইকিপিডিয়ায় (ইউটিউব, রেডিট, মাই"
bengali,"স্পেস, এবং ফেসবুক-এর পাশাপাশি[১৬]) বিশ"
bengali,্বব্যাপী লাখ-লাখ মানুষের অংশগ্রহণে অনল
bengali,াইন সহযোগিতা ও মিথষ্ক্রিয়া দ্রুত বৃদ্
bengali,ধি পাচ্ছে। এছাড়াও উইকিপিডিয়া নিবন্ধ
bengali,ের তাৎক্ষনিক খবর সংক্রান্ত দ্রুত হালন
bengali,াগাদের কারণে এটি একটি সংবাদ সূত্র হিস
bengali,েবেও খ্যাতি অর্জন করেছে।[১৭][১৮][১৯]
bengali,উইকিপিডিয়া ওয়েবসাইট উন্মুক্ত প্রকৃতির
bengali," হওয়ায় এখানে লেখার মান,[২০] ধ্বংসপ্রব"
bengali,ণতা এবং তথ্যের নির্ভুলতা রক্ষা করতে বিভ
bengali,িন্ন উদ্যোগ পরিচালিত হয়ে থাকে।[২১][২২]
bengali,"[২২] তবে, কিছু নিবন্ধে অপরিক্ষীত বা অযা"
bengali,চাইকৃত বা অসঙ্গত তথ্য থাকতে পারে।[২৩]
bengali,উইকিপিডিয়া শুরু করা হয়েছিল নুপিডিয়া
bengali,'র একটি বর্ধিত প্রকল্প হিসাবে। নুপিডিয
bengali,়া হল ইংরেজি ভাষার একটি মুক্ত বিশ্বকোষ
bengali, যেখানে অভিজ্ঞরা লিখে থাকেন এবং একটি স
bengali,ুনির্দিষ্ট পদ্ধতি অনুযায়ী লেখাগুলি সম
bengali,"্পাদনা করা হয়। Bomis, Inc নামের একটি "
bengali,ওয়েব পোর্টাল প্রতিষ্ঠান ৯ মার্চ ২০০০ 
bengali,নুপিডিয়ার কার্যক্রম শুরু করে। এখানে ম
bengali,ূল ব্যক্তিত্ব ছিলেন Bomic-এর নির্বাহী
bengali, পরিচালক জিমি ওয়েলস এবং প্রধান সম্পা
bengali,"দক ল্যারি স্যাঙ্গার, যারা পরবর্তীকালে"
bengali, উইকিপিডিয়া কার্যক্রমের সাথে যুক্ত হ
bengali,ন। নিউপিডিয়া মুক্ত তথ্য লাইসেন্সের অ
bengali,ধীনে পরিচালনা করা হচ্ছিল ; তবে রিচার্
bengali,ড স্টলম্যান উইকিপিডিয়া কার্যক্রমের স
bengali,াথে যুক্ত হবার পর গণ্যু মুক্ত ডকুমেন্
bengali,টেশন লাইসেন্সে পরিবর্তন করা হয়।[২৪]
bengali,ল্যারি স্যাঙ্গার এবং জিমি ওয়েলস হলেন
bengali, উইকিপিডিয়ার প্রতিষ্ঠাতা।[২৫][২৬] সক
bengali,লে সম্পাদনা করতে পারে এমন একটি বিশ্বক
bengali,োষ তৈরির জন্য এর লক্ষ্যগুলি নির্ধারণে
bengali,র কাজটি করেন জিমি ওয়েলস[২৭][২৮] এবং 
bengali,উইকি প্রকল্প প্রয়োগের মাধ্যমে এটি সা
bengali,র্থকভাবে সম্পাদনের কৌশল নির্ধারণের কৃ
bengali,তিত্ব দেয়া হয় ল্যারি স্যাঙ্গারকে[২
bengali,৯]। ১০ জানুয়ারি ২০০১ জিমি ওয়েলস নু
bengali,পিডিয়ার মেইলিংলিস্টে নুপিডিয়ার সহপ
bengali,্রকল্প হিসাবে একটি উইকি তৈরির প্রস্ত
bengali,াব করেন।[৩০] আনুষ্ঠানিকভাবে ২০০১ সাল
bengali,ের ১৫ জানুয়ারি শুধুমাত্র ইংরেজি ভাষ
bengali,ার জন্য www.wikipedia.com ওয়েবসাইটট
bengali,ি চালু করা হয় [৩১] এবং স্যাঙ্গার এট
bengali,ি নুপিডিয়ার মেইলিংলিস্টে ঘোষণা করেন
bengali,।[২৭] উইকিপিডিয়া কাজ শুরু করার কিছু
bengali,"দিনের মধ্যেই ""নিরপেক্ষ দৃষ্টিভঙ্গি"" "
bengali,"সংক্রান্ত নিয়মটি চালু করা হয়, এই ন"
bengali,"িয়মটি নুপিডিয়ার ""পক্ষপাত এড়িয়ে চ"
bengali,"লা"" সংক্রান্ত নিয়মটির সাথে অনেক সাদ"
bengali,ৃশ্যপূর্ণ। এছাড়াও এই বিশ্বকোষটি সঠি
bengali,কভাবে পরিচালনার জন্য প্রাথমিকভাবে আর
bengali,ও কিছু নীতিমালা ও নির্দেশাবলী তৈরি ক
bengali,রা হয়েছিল এবং সেইসাথে উইকিপিডিয়া ন
bengali,ুপিডিয়া থেকে আলাদা একটি স্বতন্ত্র প
bengali,্রতিষ্ঠানের মত কাজ শুরু করেছিল।[২৭]
bengali,উইকিপিডিয়ার প্রথমদিকের নিবন্ধগুলি নুপ
bengali,"িডিয়া, স্ল্যাসডট পোস্টিং এবং সার্চ ইঞ"
bengali,্জিন ইনডেক্সিং-এর মাধ্যমে তৈরি করা হয়
bengali,। ২০০১ সালের মধ্যে উইকিপিডিয়ায় ১৮ ভা
bengali,"ষার প্রায় ২০,০০০ নিবন্ধ তৈরি করা হয়।"
bengali, ২০০৩ সালের শেষের দিকে ২৬টি ভাষায় কাজ
bengali, শুরু হয় এবং ২০০৩ সালের মধ্যে মোট ৪৬ 
bengali,ভাষার উইকিপিডিয়া চালু হয়। ২০০৪ সাল শ
bengali,েষ হবার আগেই ১৬১টি ভাষার উইকিপিডিয়া প
bengali,্রকল্প শুরু করা হয়।[৩২] ২০০৩ সালে সার
bengali,্ভারে সমস্যা হবার আগ পর্যন্ত নিউপিডিয়
bengali,া ও উইকিপিডিয়া আলাদা ছিল এবং এরপর সকল
bengali, নিবন্ধ উইকিপিডিয়ার সাথে সমন্বয় করা 
bengali,হয়। ৯ সেপ্টেম্বর ২০০৭ ইংরেজি উইকিপিডি
bengali,য়া ২০ লক্ষ নিবন্ধের সীমানা পার করে। এ
bengali,টি তখন ১৪০৭ সালে তৈরি করা Yongle Ency
bengali,clopedia-কে ম্লান করে দিয়ে পৃথিবীর স
bengali,বচেয়ে বড় বিশ্বকোষে পরিণত হয়। গত ৬০
bengali,০ বছরের মধ্যে Yongle Encyclopedia ছিল
bengali, পৃথিবী সবচেয়ে সমৃদ্ধ বিশ্বকোষ।[৩৩]
bengali,"প্রথাগত অন্যান্য বিশ্বকোষ থেকে ভিন্ন,"
bengali, উইকিপিডিয়ায় শুধুমাত্র বিভিন্ন মাত্
bengali,"রায়[৩৫] ""সুরক্ষিত"" বিশেষ স্পর্শকাতর "
bengali,এবং/অথবা ধ্বংসপ্রবণ পাতা ব্যতীত অন্যা
bengali,"ন্য যে কোন পাতায় সম্পাদনা করা যায়, "
bengali,এমনকি কোনো অ্যাকাউন্ট ব্যতীত যে-কোনো 
bengali,পাঠক অনুমতি ছাড়াই যে-কোন লেখা সম্পাদ
bengali,"না করতে পারেন। যদিও, বিভিন্ন ভাষার সং"
bengali,স্করণে এই নীতি কিছুটা সংশোধিত বা পরিব
bengali,"র্তিত হয়ে থাকে; উদাহরণস্বরূপ, ইংরেজি"
bengali, সংস্করণে শুধুমাত্র নিবন্ধিত ব্যবহারক
bengali,ারী একটি নতুন নিবন্ধ তৈরি করতে পারেন।
bengali,"[৩৬] কোন নিবন্ধই, উক্ত নিবন্ধ সৃষ্টি"
bengali,কারী বা অন্য কোন সম্পাদকের মালিকানাধ
bengali,"ীন হিসেবে গণ্য হয় না। পরিবর্তে, মূল"
bengali,তঃ সম্পাদকদের ক্ষমতাপ্রদানের মাধ্যমে
bengali, নিবন্ধের বিষয়বস্তু ও কাঠামো সম্পর্
bengali,কে ঐকমত্য প্রতিষ্ঠিত হয়ে থাকে।[৩৭]
bengali,উইকিপিডিয়ায় বর্তমানে ৩০১টি ভাষা সংস
bengali,"্করণ রয়েছে; এর মধ্যে, পনেরটি ভাষার প"
bengali,্রতিটিতে এক মিলিয়নের বেশি নিবন্ধ রয়
bengali,"েছে (ইংরেজি, সুইডিশ, ওলন্দাজ, জার্মান"
bengali,", ফরাসি, ইতালীয়, পোলিশ, স্পেনীয়, রু"
bengali,"শ, সুইডিশ, ভিয়েতনামী, জাপানি, চীনা, "
bengali,"পর্তুগীজ, ওয়ারে-ওয়ারে এবংবাংলা), আ"
bengali,"রো চারটি ভাষায় ৭০০,০০০-এর বেশি নিবন্"
bengali,"ধ রয়েছে (সেবুয়ানো, চীনা, জাপানি, পর"
bengali,"্তুগিজ), ৩৭টি ভাষায় ১০০,০০০-এর বেশি "
bengali,"নিবন্ধ রয়েছে, এবং ৭৩টি ভাষায় রয়েছে"
bengali," ১০,০০০ নিবন্ধ।[৩৯][৪০] ইংরেজি উইকিপি"
bengali,"ডিয়ায়, সর্বাধিক ৪.৫ মিলিয়নের বেশি "
bengali,"নিবন্ধ রয়েছে। জুন, ২০১৩ সালে আলেক্সা"
bengali," অনুযায়ী, ইংরেজি সাবডোমেন (en.wikip"
bengali,edia.org; ইংরেজি উইকিপিডিয়া) উইকিপি
bengali,ডিয়ার সর্বমোট ৫৬% ট্রাফিক গ্রহণ করে
bengali,", অন্যান্য ভাষার মধ্যে যথাক্রমে (স্প"
bengali,েনীয়: ৯%; জাপানি: ৮%; রুশ: ৬%; জার্
bengali,মান: ৫%; ফরাসি: ৪%; ইতালিয়: ৩%)।[৬]
bengali," ডিসেম্বর ২০১৩ অনুযায়ী, ছয়টি বৃহত্"
bengali,তম ভাষা সংস্করণের মধ্যে রয়েছে (নিবন
bengali,"্ধ গণনা অনুযায়ী) ইংরেজি, ওলন্দাজ, জ"
bengali,"ার্মান, সুয়েডীয়, ফরাসি এবং ইতালীয়"
bengali,।[৪১] উইকিপিডিয়ার বহুভাষিক কন্টেন্ট
bengali, সহাবস্থান মূলত ইউনিকোডের মাধ্যমে তৈ
bengali,রি হয়ে থাকে। এই সুবিধা জানুয়ারি ২০
bengali,০২ সাল থেকে উইকিপিডিয়ায় বিরন ভিকার
bengali, কর্তৃক প্রথম চালু করা হয়।[৪২][৪৩]
bengali,অধিকাংশ বিশ্ববিদ্যালয় শিক্ষক ছাত্রদে
bengali,রকে একাডেমিক কাজে কোন বিশ্বকোষ থেকে ত
bengali,"থ্যসূত্র দিতে নিষেধ করেন, এর বদলে প্র"
bengali,"াথমিক উৎসকে একাজে বেছে নিতে বলেন,[৪৫]"
bengali, অনেকে আবার সুস্পষ্টভাবে উইকিপিডিয়া 
bengali,থেকেই তথ্যসূত্র দিতে নিষেধ করেন।[৪৬][
bengali,"৪৭] ওয়েলস জোর দিয়ে বলেন, যে কোন প্র"
