a_1,a_2,a_3,a_4,a_5,a_6,a_7,location
-62,-54,-58,-64,-65,-77,-85,0
-59,-54,-58,-59,-63,-81,-80,0
-58,-55,-58,-61,-64,-81,-84,0
-61,-54,-64,-63,-68,-83,-81,0
-62,-57,-61,-63,-65,-83,-82,0
-67,-56,-65,-68,-69,-83,-82,0
-63,-57,-60,-64,-72,-80,-78,0
-62,-57,-63,-67,-66,-87,-80,0
-63,-57,-66,-66,-68,-83,-81,0
-62,-57,-59,-72,-73,-86,-82,0
-64,-66,-54,-67,-70,-83,-82,0
-62,-63,-57,-69,-71,-82,-82,0
-64,-64,-58,-75,-68,-82,-80,0
-64,-62,-57,-69,-67,-77,-81,0
-63,-63,-57,-68,-71,-79,-82,0
-61,-55,-58,-67,-69,-84,-86,0
-65,-51,-59,-61,-66,-81,-84,0
-61,-58,-60,-64,-73,-81,-82,0
-64,-55,-62,-66,-65,-85,-81,0
-62,-59,-59,-64,-65,-80,-81,0
-59,-55,-56,-64,-69,-83,-84,0
-64,-56,-60,-61,-67,-78,-85,0
-60,-56,-56,-64,-67,-84,-85,0
-58,-54,-59,-62,-68,-79,-87,0
-59,-52,-61,-57,-69,-83,-78,0
-56,-55,-56,-59,-64,-83,-83,0
-60,-56,-56,-63,-65,-80,-83,0
-59,-53,-64,-60,-68,-82,-81,0
-58,-52,-64,-64,-66,-88,-83,0
-59,-51,-64,-57,-69,-80,-80,0
-58,-50,-59,-58,-68,-80,-81,0
-61,-53,-53,-61,-63,-77,-81,0
-58,-50,-55,-54,-61,-84,-87,0
-60,-58,-56,-65,-68,-79,-86,0
-62,-56,-59,-58,-67,-78,-79,0
-62,-59,-62,-60,-68,-80,-89,0
-61,-58,-64,-61,-64,-78,-82,0
-61,-59,-62,-61,-66,-80,-88,0
-60,-51,-59,-63,-68,-81,-76,0
-60,-58,-57,-59,-66,-82,-83,0
-61,-54,-60,-62,-66,-79,-85,0
-59,-54,-60,-65,-66,-80,-90,0
-61,-59,-62,-65,-66,-81,-83,0
-61,-56,-61,-74,-69,-87,-89,0
-66,-55,-60,-69,-66,-85,-87,0
-64,-58,-60,-68,-66,-86,-88,0
-66,-58,-64,-67,-71,-85,-87,0
-62,-59,-62,-63,-65,-87,-87,0
-60,-56,-59,-66,-68,-81,-83,0
-59,-53,-58,-66,-65,-82,-78,0
-62,-54,-60,-61,-71,-86,-80,0
-61,-59,-54,-65,-66,-81,-89,0
-62,-57,-58,-63,-70,-85,-86,0
-63,-59,-57,-65,-69,-80,-86,0
-67,-61,-63,-65,-71,-81,-87,0
-64,-55,-60,-74,-66,-87,-87,0
-65,-57,-62,-70,-67,-85,-87,0
-64,-57,-60,-70,-69,-86,-83,0
-65,-58,-61,-71,-69,-87,-83,0
-64,-56,-61,-73,-66,-88,-83,0
-62,-57,-60,-64,-67,-80,-88,0
-60,-53,-60,-67,-64,-81,-79,0
-61,-60,-60,-65,-67,-82,-78,0
-63,-58,-62,-65,-68,-81,-74,0
-59,-56,-61,-66,-71,-83,-82,0
-63,-59,-61,-68,-71,-81,-87,0
-63,-58,-61,-67,-69,-86,-85,0
-64,-56,-58,-71,-69,-88,-84,0
-68,-51,-59,-67,-65,-80,-87,0
-63,-57,-63,-64,-67,-81,-83,0
-66,-57,-64,-61,-69,-82,-88,0
-64,-57,-60,-60,-65,-80,-91,0
-58,-50,-61,-68,-64,-85,-91,0
-59,-58,-62,-67,-65,-80,-83,0
-63,-61,-61,-63,-68,-82,-83,0
-65,-58,-61,-62,-71,-81,-86,0
-63,-59,-60,-65,-69,-81,-84,0
-65,-59,-61,-67,-70,-80,-83,0
-66,-57,-59,-64,-69,-82,-84,0
-62,-57,-60,-61,-69,-93,-90,0
-63,-58,-58,-64,-66,-81,-83,0
-62,-58,-58,-63,-68,-82,-84,0
-62,-56,-57,-64,-65,-85,-83,0
-62,-57,-56,-63,-66,-84,-82,0
-62,-55,-54,-62,-69,-79,-81,0
-62,-53,-59,-62,-66,-82,-87,0
-65,-56,-62,-62,-68,-83,-90,0
-65,-54,-60,-64,-65,-87,-82,0
-60,-53,-60,-61,-69,-81,-83,0
-59,-56,-62,-59,-67,-75,-78,0
-61,-52,-60,-61,-68,-80,-84,0
-64,-60,-63,-63,-72,-86,-84,0
-62,-51,-58,-65,-72,-80,-88,0
-60,-54,-56,-64,-70,-78,-80,0
-62,-53,-62,-64,-68,-79,-82,0
-63,-51,-57,-60,-66,-79,-82,0
-63,-51,-58,-63,-68,-81,-87,0
-66,-52,-63,-63,-68,-80,-87,0
-62,-58,-59,-59,-67,-80,-77,0
-62,-56,-61,-63,-65,-83,-89,0
-61,-51,-60,-63,-66,-82,-87,0
-62,-53,-64,-65,-69,-85,-85,0
-64,-55,-54,-64,-68,-89,-81,0
-65,-54,-56,-64,-66,-79,-81,0
-66,-56,-59,-62,-67,-80,-78,0
-60,-62,-66,-66,-71,-84,-85,0
-62,-64,-62,-65,-75,-82,-86,0
-61,-56,-63,-77,-67,-82,-96,0
-64,-52,-59,-59,-66,-86,-87,0
-60,-54,-59,-65,-66,-83,-84,0
-61,-58,-58,-62,-66,-81,-81,0
-62,-54,-60,-61,-70,-79,-81,0
-61,-57,-59,-62,-69,-78,-83,0
-64,-57,-63,-59,-68,-82,-83,0
-63,-57,-66,-63,-68,-82,-82,0
-58,-57,-66,-61,-68,-85,-83,0
-61,-56,-67,-61,-69,-82,-87,0
-60,-56,-67,-62,-69,-82,-86,0
-61,-56,-66,-65,-71,-85,-88,0
-60,-57,-66,-64,-70,-84,-88,0
-61,-56,-64,-61,-72,-83,-86,0
-60,-57,-63,-62,-72,-85,-86,0
-62,-60,-61,-66,-69,-80,-86,0
-64,-59,-62,-63,-69,-84,-81,0
-61,-58,-60,-62,-70,-81,-85,0
-65,-61,-63,-63,-69,-82,-84,0
-68,-56,-65,-67,-76,-87,-85,0
-67,-56,-60,-66,-73,-93,-87,0
-66,-55,-64,-71,-75,-94,-83,0
-65,-57,-63,-71,-76,-87,-86,0
-64,-56,-64,-71,-75,-87,-87,0
-64,-57,-63,-71,-77,-87,-83,0
-65,-58,-65,-65,-74,-89,-85,0
-67,-65,-67,-68,-75,-87,-84,0
-70,-62,-62,-67,-69,-88,-86,0
-64,-58,-60,-67,-68,-84,-81,0
-62,-53,-57,-60,-69,-87,-86,0
-61,-56,-60,-58,-67,-79,-82,0
-65,-54,-65,-70,-74,-83,-82,0
-67,-57,-67,-68,-75,-85,-80,0
-67,-55,-68,-67,-74,-83,-83,0
-68,-57,-66,-69,-76,-81,-82,0
-67,-56,-65,-66,-75,-83,-81,0
-68,-55,-66,-68,-75,-82,-83,0
-67,-57,-64,-68,-75,-82,-82,0
-68,-55,-73,-65,-76,-82,-82,0
-68,-55,-67,-70,-76,-82,-81,0
-68,-56,-66,-69,-75,-82,-83,0
-68,-57,-67,-68,-75,-83,-83,0
-67,-56,-67,-70,-74,-81,-82,0
-69,-59,-70,-67,-75,-82,-82,0
-63,-58,-59,-65,-74,-86,-84,0
-68,-55,-63,-61,-74,-79,-85,0
-67,-57,-60,-60,-75,-83,-87,0
-68,-57,-60,-61,-73,-87,-87,0
-66,-56,-60,-63,-74,-87,-93,0
-69,-58,-56,-61,-73,-81,-93,0
-66,-57,-61,-61,-73,-81,-90,0
-66,-57,-62,-61,-74,-81,-89,0
-65,-57,-60,-64,-74,-81,-90,0
-66,-57,-60,-68,-74,-82,-88,0
-66,-57,-64,-62,-68,-87,-88,0
-63,-57,-64,-69,-75,-85,-83,0
-66,-58,-64,-63,-73,-83,-86,0
-62,-58,-62,-65,-75,-90,-81,0
-62,-59,-62,-63,-74,-86,-81,0
-66,-58,-61,-63,-73,-81,-85,0
-66,-60,-62,-62,-70,-82,-85,0
-60,-52,-59,-65,-66,-82,-80,0
-61,-59,-58,-62,-65,-78,-78,0
-60,-57,-58,-59,-70,-76,-80,0
-62,-52,-56,-63,-64,-78,-81,0
-58,-56,-51,-59,-65,-81,-84,0
-59,-57,-60,-58,-67,-80,-79,0
-59,-57,-60,-60,-63,-81,-77,0
-55,-53,-57,-67,-64,-80,-78,0
-57,-53,-54,-61,-73,-86,-81,0
-62,-52,-59,-62,-64,-80,-81,0
-61,-55,-56,-66,-73,-79,-80,0
-62,-55,-64,-61,-60,-81,-77,0
-60,-51,-61,-63,-64,-86,-81,0
-60,-59,-55,-66,-66,-82,-86,0
-61,-54,-60,-60,-64,-79,-81,0
-59,-52,-58,-65,-66,-82,-80,0
-64,-52,-57,-61,-66,-82,-81,0
-64,-50,-55,-63,-66,-78,-82,0
-61,-53,-52,-60,-72,-75,-81,0
-61,-52,-58,-59,-70,-76,-79,0
-62,-53,-55,-60,-68,-76,-79,0
-62,-51,-54,-60,-74,-74,-82,0
-61,-57,-58,-62,-67,-78,-76,0
-59,-50,-56,-59,-62,-78,-79,0
-59,-49,-57,-58,-65,-76,-79,0
-42,-53,-62,-38,-66,-65,-69,1
-44,-55,-61,-41,-66,-72,-68,1
-41,-58,-56,-40,-73,-69,-73,1
-40,-55,-56,-41,-70,-74,-73,1
-38,-55,-53,-37,-72,-71,-73,1
-38,-54,-56,-45,-56,-72,-68,1
-38,-52,-54,-38,-64,-73,-77,1
-37,-59,-57,-38,-69,-68,-73,1
-37,-61,-61,-37,-71,-68,-73,1
-37,-56,-56,-38,-68,-70,-66,1
-37,-59,-57,-43,-73,-65,-66,1
-39,-54,-61,-43,-75,-64,-74,1
-42,-57,-61,-43,-73,-67,-66,1
-40,-56,-58,-42,-67,-62,-71,1
-41,-56,-54,-41,-76,-65,-68,1
-43,-55,-55,-39,-69,-67,-71,1
-41,-56,-56,-38,-72,-67,-70,1
-41,-56,-60,-39,-72,-74,-66,1
-44,-52,-60,-37,-66,-67,-73,1
-43,-55,-63,-37,-64,-67,-76,1
-40,-59,-57,-43,-74,-65,-66,1
-38,-57,-61,-38,-69,-73,-70,1
-39,-62,-58,-37,-69,-73,-72,1
-35,-58,-61,-38,-67,-71,-71,1
-26,-55,-55,-38,-71,-71,-70,1
-38,-58,-59,-41,-65,-68,-74,1
-27,-55,-57,-37,-67,-71,-71,1
-19,-59,-67,-35,-65,-66,-74,1
-18,-63,-62,-38,-72,-71,-73,1
-14,-58,-60,-38,-74,-74,-73,1
-17,-66,-61,-37,-68,-75,-77,1
-16,-70,-58,-14,-73,-71,-80,1
-19,-62,-56,-13,-74,-72,-77,1
-18,-62,-56,-15,-71,-70,-79,1
-18,-62,-59,-14,-73,-71,-78,1
-17,-63,-60,-14,-72,-72,-77,1
-17,-61,-60,-15,-72,-69,-79,1
-17,-74,-60,-15,-73,-71,-80,1
-16,-59,-60,-35,-69,-81,-78,1
-12,-60,-62,-14,-71,-77,-71,1
-16,-58,-58,-13,-68,-76,-90,1
-21,-61,-62,-16,-76,-74,-74,1
-36,-57,-60,-20,-71,-74,-74,1
-39,-56,-58,-37,-64,-76,-72,1
-36,-57,-61,-38,-63,-79,-71,1
-38,-60,-57,-38,-65,-79,-76,1
-38,-55,-54,-42,-63,-78,-71,1
-38,-58,-53,-40,-63,-77,-70,1
-37,-61,-54,-37,-66,-74,-75,1
-41,-57,-51,-40,-66,-78,-71,1
-41,-53,-49,-38,-71,-69,-75,1
-42,-53,-50,-47,-66,-80,-69,1
-47,-55,-52,-49,-59,-78,-71,1
-41,-58,-53,-38,-65,-79,-72,1
-45,-58,-59,-42,-66,-81,-75,1
-41,-59,-53,-40,-69,-80,-78,1
-46,-58,-59,-40,-71,-78,-76,1
-42,-55,-57,-38,-71,-71,-76,1
-42,-56,-50,-43,-68,-76,-77,1
-41,-58,-58,-42,-64,-79,-80,1
-39,-56,-55,-41,-62,-69,-75,1
-38,-53,-53,-43,-78,-69,-75,1
-45,-58,-55,-38,-68,-76,-75,1
-40,-56,-53,-50,-71,-79,-78,1
-43,-58,-56,-41,-69,-79,-78,1
-45,-57,-58,-45,-77,-78,-80,1
-48,-58,-57,-45,-73,-86,-92,1
-38,-58,-60,-42,-66,-82,-79,1
-45,-58,-58,-40,-70,-86,-80,1
-40,-53,-56,-42,-69,-74,-78,1
-43,-60,-55,-46,-71,-76,-79,1
-41,-59,-54,-41,-58,-80,-80,1
-43,-59,-54,-39,-63,-79,-87,1
-39,-54,-53,-45,-68,-78,-81,1
-48,-56,-54,-39,-67,-78,-82,1
-43,-58,-56,-43,-67,-78,-82,1
-41,-57,-55,-43,-65,-71,-76,1
-39,-56,-54,-48,-61,-78,-67,1
-38,-54,-50,-42,-60,-71,-67,1
-38,-56,-53,-47,-61,-72,-83,1
-39,-56,-55,-39,-68,-74,-73,1
-38,-50,-71,-39,-68,-78,-74,1
-38,-57,-60,-39,-68,-73,-74,1
-37,-50,-53,-42,-65,-72,-71,1
-40,-50,-49,-51,-65,-75,-80,1
-38,-52,-56,-44,-65,-71,-75,1
-38,-51,-54,-45,-67,-72,-76,1
-40,-55,-47,-47,-64,-75,-79,1
-39,-56,-53,-40,-69,-75,-72,1
-43,-58,-50,-45,-71,-68,-74,1
-40,-53,-50,-40,-60,-69,-74,1
-38,-58,-59,-37,-66,-74,-67,1
-38,-63,-61,-43,-64,-76,-76,1
-37,-56,-58,-39,-66,-70,-72,1
-20,-63,-61,-35,-70,-73,-71,1
-39,-57,-55,-37,-67,-70,-73,1
-35,-58,-59,-40,-75,-75,-73,1
-19,-59,-55,-37,-73,-72,-66,1
-20,-56,-55,-37,-61,-79,-72,1
-35,-54,-55,-40,-61,-79,-73,1
-19,-60,-56,-36,-63,-70,-75,1
-15,-60,-59,-37,-65,-74,-73,1
-18,-60,-59,-17,-68,-75,-75,1
-19,-63,-66,-20,-79,-73,-72,1
-14,-59,-64,-16,-79,-76,-72,1
-13,-63,-65,-16,-74,-73,-74,1
